Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
New Jeans,NewJeans,NewJeans 'Super Shy',5V729UqvhwNOcMejx0m55I,6rdkCkjk6D12xRpdMXy0I2,76,2023-07-07,108987,False,https://open.spotify.com/track/6rdkCkjk6D12xRpdMXy0I2,0.807,0.721,4,-6.211,0,0.0508,0.51,0.00216,0.115,0.532,134.014
Do It Like That,"TOMORROW X TOGETHER, Jonas Brothers",Do It Like That,0Z1ebaoFTQDDzebTh3fD2P,7kaFsQygyiCqRboWCXztxZ,59,2023-07-07,145066,False,https://open.spotify.com/track/7kaFsQygyiCqRboWCXztxZ,0.772,0.921,5,-3.221,0,0.0531,0.0103,0.0,0.334,0.842,119.992
In Bloom,ZEROBASEONE,YOUTH IN THE SHADE,7fV7RChHagCcKRnAaDRXuX,3F4lHPNHlvr3RpO4tpVOIs,61,2023-07-10,180988,False,https://open.spotify.com/track/3F4lHPNHlvr3RpO4tpVOIs,0.551,0.886,6,-3.843,1,0.0699,0.111,0.0,0.112,0.383,82.034
Cream Soda,EXO,EXIST – The 7th Album,4qMcBYh4ZlwDeb7vfgZO61,42h7yc9Rda1IOMYLACVgld,58,2023-07-10,185320,False,https://open.spotify.com/track/42h7yc9Rda1IOMYLACVgld,0.623,0.838,4,-2.454,0,0.15,0.0849,0.0,0.186,0.684,155.617
Seven (feat. Latto),"Jung Kook, Latto",Seven (feat. Latto),53985D8g3JcGBoULSOYYKX,5Avril3IZ26DPVFHbJX8o6,77,2023-07-14,184160,False,https://open.spotify.com/track/5Avril3IZ26DPVFHbJX8o6,0.782,0.839,11,-3.933,1,0.0436,0.318,0.0,0.0667,0.914,124.994
Do not touch,MISAMO,Do not touch,2A7JiOErRUS6Sw9YneA6Hq,1w6b63TmaXFk1jhPOY0FkY,59,2023-07-14,185600,False,https://open.spotify.com/track/1w6b63TmaXFk1jhPOY0FkY,0.72,0.787,3,-4.54,0,0.188,0.137,0.0,0.0418,0.842,149.972
Seven (feat. Latto),"Jung Kook, Latto",Seven (feat. Latto),53985D8g3JcGBoULSOYYKX,7x9aauaA9cu6tyfpHnqDLo,81,2023-07-14,184400,True,https://open.spotify.com/track/7x9aauaA9cu6tyfpHnqDLo,0.788,0.841,11,-3.955,1,0.0432,0.301,0.0,0.0772,0.904,124.986
Seven (feat. Latto),"Jung Kook, Latto",Seven (Weekday Ver.),7pPaEvQFccrBU1VXhUWBI7,3t1TAfnoXfnMclelI70UaX,63,2023-07-17,184400,True,https://open.spotify.com/track/3t1TAfnoXfnMclelI70UaX,0.788,0.841,11,-3.955,1,0.0432,0.301,0.0,0.0772,0.904,124.986
Seven (feat. Latto),"Jung Kook, Latto",Seven (Weekday Ver.),7pPaEvQFccrBU1VXhUWBI7,50Af7YTMHGNbYyvgofTAGf,65,2023-07-17,184160,False,https://open.spotify.com/track/50Af7YTMHGNbYyvgofTAGf,0.782,0.839,11,-3.933,1,0.0436,0.318,0.0,0.0667,0.914,124.994
Seven (feat. Latto),"Jung Kook, Latto",Seven (Weekend Ver.),6fJthISWarQBICiU2wncp6,4yk9mD1iZpUg2HE3z9HhdP,65,2023-07-21,184160,False,https://open.spotify.com/track/4yk9mD1iZpUg2HE3z9HhdP,0.782,0.839,11,-3.933,1,0.0436,0.318,0.0,0.0667,0.914,124.994
New Jeans,NewJeans,NewJeans 2nd EP 'Get Up',4N1fROq2oeyLGAlQ1C1j18,7woEDtme8YkFiWeyiinIjy,61,2023-07-21,108987,False,https://open.spotify.com/track/7woEDtme8YkFiWeyiinIjy,0.807,0.721,4,-6.211,0,0.0508,0.51,0.00216,0.115,0.532,134.014
Seven (feat. Latto),"Jung Kook, Latto",Seven (Weekend Ver.),6fJthISWarQBICiU2wncp6,39mR7R6oZOa1K9deHnOKqE,64,2023-07-21,184400,True,https://open.spotify.com/track/39mR7R6oZOa1K9deHnOKqE,0.788,0.841,11,-3.955,1,0.0432,0.301,0.0,0.0772,0.904,124.986
Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',4N1fROq2oeyLGAlQ1C1j18,0kwrPQkiGVE8KTHalH1uMo,60,2023-07-21,154667,False,https://open.spotify.com/track/0kwrPQkiGVE8KTHalH1uMo,0.776,0.817,5,-6.018,0,0.0748,0.18,3.44e-05,0.146,0.515,149.921
Get Up,NewJeans,NewJeans 2nd EP 'Get Up',4N1fROq2oeyLGAlQ1C1j18,1wUnuiXMMvhudmzvcCtlZP,69,2023-07-21,36227,False,https://open.spotify.com/track/1wUnuiXMMvhudmzvcCtlZP,0.525,0.526,5,-7.03,1,0.0534,0.634,0.127,0.103,0.562,85.274
ETA,NewJeans,NewJeans 2nd EP 'Get Up',4N1fROq2oeyLGAlQ1C1j18,56v8WEnGzLByGsDAXDiv4d,79,2023-07-21,151373,False,https://open.spotify.com/track/56v8WEnGzLByGsDAXDiv4d,0.812,0.749,10,-6.389,0,0.0397,0.108,0.0,0.0599,0.841,134.971
ASAP,NewJeans,NewJeans 2nd EP 'Get Up',4N1fROq2oeyLGAlQ1C1j18,5fpyAakgFOm4YTXkgfPzvV,69,2023-07-21,134387,False,https://open.spotify.com/track/5fpyAakgFOm4YTXkgfPzvV,0.934,0.486,0,-9.561,0,0.164,0.466,3.73e-05,0.0963,0.372,130.052
Cool With You,NewJeans,NewJeans 2nd EP 'Get Up',4N1fROq2oeyLGAlQ1C1j18,02wk5BttM0QL38ERjLPQJB,73,2023-07-21,147880,False,https://open.spotify.com/track/02wk5BttM0QL38ERjLPQJB,0.752,0.65,5,-6.683,0,0.12,0.653,0.00136,0.105,0.532,134.993
Back To Me,The Rose,Back To Me / Alive,7uAydPIaSI5OmH4e8WY0Eo,4eZpe6SMJQIqAU9VJI84oD,59,2023-07-21,224969,True,https://open.spotify.com/track/4eZpe6SMJQIqAU9VJI84oD,0.595,0.835,1,-3.226,0,0.0406,0.0518,0.0,0.476,0.563,130.033
Do not touch,MISAMO,Masterpiece,3qmO83vO1SsdmP1Y0ljhSQ,5gq7xM6eI16osBO2U581NL,62,2023-07-26,185600,False,https://open.spotify.com/track/5gq7xM6eI16osBO2U581NL,0.72,0.787,3,-4.54,0,0.188,0.137,0.0,0.0418,0.842,149.972
CRIMINAL LOVE,ENHYPEN,CRIMINAL LOVE,6S8BCiVrtzm5TEOnjyyCfJ,0Eglu3fErlG196PtTwCUPM,65,2023-07-31,215632,False,https://open.spotify.com/track/0Eglu3fErlG196PtTwCUPM,0.603,0.811,2,-3.318,0,0.0379,0.0663,0.0,0.404,0.549,89.995
CAKE,ITZY,KILL MY DOUBT,6P01cKb7sdwfnNpuMLNEik,3syxwxJqX5jpgjNYmvzdW6,62,2023-07-31,198887,False,https://open.spotify.com/track/3syxwxJqX5jpgjNYmvzdW6,0.801,0.758,7,-4.31,1,0.0445,0.0663,4.1e-06,0.0431,0.576,103.07
TGIF,XG,TGIF,0aNeBf2SZFAUOYuyCBPU0c,3horUXBBgEyTEAxfeT9c0P,59,2023-08-04,171240,False,https://open.spotify.com/track/3horUXBBgEyTEAxfeT9c0P,0.872,0.813,7,-5.215,1,0.102,0.0292,0.000169,0.211,0.665,128.022
Fast Forward,JEON SOMI,GAME PLAN,7xMXoWstClAzBIo5lOAASu,7jzOZuWgZ5gaMet9V5Ix1d,61,2023-08-07,160578,False,https://open.spotify.com/track/7jzOZuWgZ5gaMet9V5Ix1d,0.733,0.599,9,-5.747,1,0.0494,0.000929,0.000304,0.116,0.766,123.991
Better Things,aespa,Better Things,1SHLOv0DDdRecK60z86Lth,6zZWoHlF2zNSLUNLvx4GUl,61,2023-08-18,203216,False,https://open.spotify.com/track/6zZWoHlF2zNSLUNLvx4GUl,0.782,0.767,0,-5.383,1,0.0529,0.11,0.00323,0.496,0.548,115.027
Cupid – Twin Ver. (feat. Sabrina Carpenter),"FIFTY FIFTY, Sabrina Carpenter",Cupid – Twin Ver. (feat. Sabrina Carpenter),78cUZ3f7KXyEIPVTD3WsDp,6Ft6nfssjDYmgmXF19poJE,61,2023-08-18,173801,False,https://open.spotify.com/track/6Ft6nfssjDYmgmXF19poJE,0.755,0.597,2,-5.843,1,0.0371,0.404,0.0,0.278,0.728,120.035
Memories,RIIZE,Memories,2oPFVwB8gXNDjVGA9wDmMT,11s5p72subU7SHJPzyR2Lq,55,2023-08-21,178013,False,https://open.spotify.com/track/11s5p72subU7SHJPzyR2Lq,0.691,0.803,5,-5.31,0,0.0537,0.0143,0.0,0.109,0.419,92.965
NEW DANCE,XG,NEW DANCE,5iBG5tDegPYWxpzmgYs4KK,6Pjzy9avwlVr4UAbxkQQmh,63,2023-08-23,198520,False,https://open.spotify.com/track/6Pjzy9avwlVr4UAbxkQQmh,0.818,0.777,7,-2.825,1,0.0625,0.195,0.0,0.731,0.688,114.001
THE GIRLS - BLACKPINK THE GAME OST,BLACKPINK,THE GIRLS (BLACKPINK THE GAME OST),01K5Mr0IkO7GQrvoUEsWfS,1mFpMoeZfkIqtqW2AfQ8ba,63,2023-08-25,162000,False,https://open.spotify.com/track/1mFpMoeZfkIqtqW2AfQ8ba,0.714,0.733,2,-4.291,1,0.0515,0.00163,0.0,0.176,0.368,79.986
Seven (feat. Latto),"Jung Kook, Latto",Seven (feat. Latto) (Alesso Remix),3nDzRDgvd0SxAxRHEefwDb,0NCs64tpWpSNNFXbu6bCAE,64,2023-08-25,184400,True,https://open.spotify.com/track/0NCs64tpWpSNNFXbu6bCAE,0.788,0.841,11,-3.955,1,0.0432,0.301,0.0,0.0772,0.904,124.986
Seven (feat. Latto),"Jung Kook, Latto",Seven (feat. Latto) (Alesso Remix),3nDzRDgvd0SxAxRHEefwDb,6ZUdN0SmTwV7orWD14Emwl,63,2023-08-25,184160,False,https://open.spotify.com/track/6ZUdN0SmTwV7orWD14Emwl,0.782,0.839,11,-3.933,1,0.0436,0.318,0.0,0.0667,0.914,124.994
Social Path,"Stray Kids, LiSA",Social Path,69mwX2uyO8FKCc8KkRMHw7,0fkL0fOhEzRK8WFe2ixt2d,63,2023-08-30,198787,False,https://open.spotify.com/track/0fkL0fOhEzRK8WFe2ixt2d,0.562,0.91,11,-3.51,0,0.21,0.0554,0.0,0.242,0.405,172.013
But Sometimes,BOYNEXTDOOR,WHY..,45skMBkupbWiAxTeZ77rVa,5TNMJ6Csb2NgSohuz76XJT,63,2023-09-04,175107,False,https://open.spotify.com/track/5TNMJ6Csb2NgSohuz76XJT,0.797,0.858,11,-3.678,0,0.0875,0.0363,0.0,0.378,0.684,97.058
Get A Guitar,RIIZE,Get A Guitar,4QzCT76QtPCyLinchwVt8l,3Dah48XTdzVtbIl4dUn6l4,61,2023-09-04,160372,False,https://open.spotify.com/track/3Dah48XTdzVtbIl4dUn6l4,0.9,0.62,1,-5.101,1,0.0716,0.128,9.02e-06,0.1,0.902,109.987
Butterflies,Stray Kids,Social Path / Super Bowl -Japanese ver.-,7xBMOCdTrdP3Y7rDBHp2AW,3Oi8I8awZsuJtSEOGHuOXf,57,2023-09-06,190707,False,https://open.spotify.com/track/3Oi8I8awZsuJtSEOGHuOXf,0.766,0.71,0,-2.97,1,0.092,0.213,0.0,0.14,0.828,80.059
I Love My Body,HWASA,I Love My Body,7Lbc8drIJGlYLT4hdcBvre,0pHylQR53epYtRcVIhUSCh,63,2023-09-06,150176,False,https://open.spotify.com/track/0pHylQR53epYtRcVIhUSCh,0.806,0.612,6,-3.249,0,0.0465,0.0547,4.16e-06,0.0843,0.462,140.014
Spicy,aespa,iScreaM Vol.26 : Spicy Remix,55N0UTP5992idhnEYOKYd9,3gtlthEgyulDfT8dWdKsnv,68,2023-09-15,197040,False,https://open.spotify.com/track/3gtlthEgyulDfT8dWdKsnv,0.757,0.898,11,-1.247,0,0.0667,0.0138,0.0,0.0703,0.842,114.949
Back for More (with Anitta),"TOMORROW X TOGETHER, Anitta",Back for More (with Anitta),5zhfCotijpaEJfQNVAC8mV,6uTPA1xlcsk6dbchB2dhzl,66,2023-09-15,131038,False,https://open.spotify.com/track/6uTPA1xlcsk6dbchB2dhzl,0.785,0.897,4,-3.447,0,0.158,0.0452,0.0,0.222,0.891,115.916
